0 train f1,0 val f1,1 train f1,1 val f1,2 train f1,2 val f1,3 train f1,3 val f1,epoch,step,train multilabel_f1_macro,train ranking_avg_precision,train_loss,val multilabel_f1_macro,val ranking_avg_precision,val_loss
,0.4878048896789551,,0.5811240673065186,,0.8085106611251831,,0.1818181872367859,0,172,,,,0.5148144364356995,0.6163793206214905,0.3702470064163208
0.5259224772453308,,0.5820244550704956,,0.7272727489471436,,0.054054055362939835,,0,172,0.4723184108734131,0.5930821895599365,0.3893042504787445,,,
,0.6660078763961792,,0.5992317795753479,,0.8137931227684021,,0.6881720423698425,1,345,,,,0.6918011903762817,0.6875,0.3224719762802124
0.6055530905723572,,0.6090289354324341,,0.8500000238418579,,0.5299145579338074,,1,345,0.6486241221427917,0.6715863943099976,0.33727654814720154,,,
,0.6871401071548462,,0.6045272946357727,,0.811188817024231,,0.8421052694320679,2,518,,,,0.7362403869628906,0.7126436829566956,0.3099394738674164
0.6488121151924133,,0.6341463327407837,,0.8636363744735718,,0.7428571581840515,,2,518,0.7223629951477051,0.7003803253173828,0.31716492772102356,,,
,0.5559400320053101,,0.6030701994895935,,0.8142856955528259,,0.8421052694320679,3,691,,,,0.703850269317627,0.6637930870056152,0.33148980140686035
0.6446141004562378,,0.6355382800102234,,0.8734491467475891,,0.8255033493041992,,3,691,0.74477618932724,0.7091633677482605,0.30953091382980347,,,
,0.5794183611869812,,0.600907027721405,,0.8137931227684021,,0.8648648858070374,4,864,,,,0.714745819568634,0.6690613031387329,0.32123300433158875
0.6598639488220215,,0.6371002197265625,,0.8799999952316284,,0.8544303774833679,,4,864,0.7578486204147339,0.7155922055244446,0.3017904460430145,,,
,0.5986841917037964,,0.6073697805404663,,0.8085106611251831,,0.8571428656578064,5,1037,,,,0.7179268598556519,0.6774425506591797,0.3103552758693695
0.6571066975593567,,0.6421144008636475,,0.8939393758773804,,0.8854489326477051,,5,1037,0.7696523666381836,0.7203911542892456,0.2982628047466278,,,
,0.6344537734985352,,0.6002290844917297,,0.8251748085021973,,0.8666666746139526,6,1210,,,,0.7316311001777649,0.6910919547080994,0.31366685032844543
0.6618887186050415,,0.6497418284416199,,0.8922305703163147,,0.9006211161613464,,6,1210,0.7761205434799194,0.7279065847396851,0.29386159777641296,,,
,0.7191844582557678,,0.6240000128746033,,0.8321167826652527,,0.8648648858070374,7,1383,,,,0.7600415349006653,0.732758641242981,0.29321035742759705
0.6722129583358765,,0.6480686664581299,,0.8793969750404358,,0.89570552110672,,7,1383,0.7738460302352905,0.7279065847396851,0.2896806001663208,,,
,0.7207373380661011,,0.6183844208717346,,0.8251748085021973,,0.8666666746139526,8,1556,,,,0.7577407956123352,0.7325191497802734,0.2910866141319275
0.6711185574531555,,0.6626814603805542,,0.8984771370887756,,0.9174311757087708,,8,1556,0.7874270677566528,0.7363274097442627,0.2880456745624542,,,
,0.6817288994789124,,0.6106080412864685,,0.8333333134651184,,0.886956512928009,9,1729,,,,0.7531566619873047,0.7157567143440247,0.2970931828022003
0.6774595379829407,,0.6536796689033508,,0.8939393758773804,,0.9036144614219666,,9,1729,0.7821732759475708,0.7349691987037659,0.2863636314868927,,,
,0.6771344542503357,,0.6047678589820862,,0.8405796885490417,,0.8595041036605835,10,1902,,,,0.7454965710639954,0.7095306515693665,0.29857903718948364
0.6793703436851501,,0.6603530049324036,,0.8899999856948853,,0.9309309124946594,,10,1902,0.7901635766029358,0.7416697144508362,0.2837281823158264,,,
,0.6176784038543701,,0.5988571643829346,,0.8405796885490417,,0.8947368264198303,11,2075,,,,0.7379630208015442,0.6882184147834778,0.31093713641166687
0.67166668176651,,0.6632079482078552,,0.9063290953636169,,0.9285714030265808,,11,2075,0.7924438118934631,0.7388627529144287,0.280870646238327,,,
,0.624605655670166,,0.6066350936889648,,0.8299319744110107,,0.8947368264198303,12,2248,,,,0.7389773726463318,0.6954023241996765,0.3060740530490875
0.6813095808029175,,0.66839599609375,,0.8962025046348572,,0.9341317415237427,,12,2248,0.795009970664978,0.7461970448493958,0.28011104464530945,,,
,0.7072029709815979,,0.6226415038108826,,0.8405796885490417,,0.8644067645072937,13,2421,,,,0.7587077617645264,0.7306034564971924,0.28932511806488037
0.6766293048858643,,0.6689419746398926,,0.909547746181488,,0.9313432574272156,,13,2421,0.7966156005859375,0.7453821301460266,0.2782204747200012,,,
,0.7020872831344604,,0.6159895062446594,,0.8405796885490417,,0.886956512928009,14,2594,,,,0.7614032626152039,0.7253352403640747,0.29116958379745483
0.6864441633224487,,0.6735661625862122,,0.9113923907279968,,0.9345238208770752,,14,2594,0.8014816641807556,0.7516298294067383,0.2777795195579529,,,
,0.7447916865348816,,0.6104928255081177,,0.8368794322013855,,0.8888888955116272,15,2767,,,,0.7702631950378418,0.756465494632721,0.28058040142059326
0.6758447885513306,,0.6723768711090088,,0.9040403962135315,,0.937685489654541,,15,2767,0.7974869012832642,0.7448388338088989,0.27508512139320374,,,
,0.739629328250885,,0.6180257797241211,,0.8391608595848083,,0.9026548862457275,16,2940,,,,0.7748677134513855,0.751197338104248,0.2834967374801636
0.701116144657135,,0.6730104088783264,,0.9215189814567566,,0.9464285969734192,,16,2940,0.8105185031890869,0.7547084093093872,0.27161115407943726,,,
,0.7391688823699951,,0.6149068474769592,,0.8405796885490417,,0.8666666746139526,17,3113,,,,0.7653304934501648,0.751197338104248,0.2815205752849579
0.6827643513679504,,0.6774882674217224,,0.9187816977500916,,0.9369369149208069,,17,3113,0.8039928078651428,0.7484607100486755,0.2729545831680298,,,
,0.654321014881134,,0.6132665872573853,,0.8428571224212646,,0.8666666746139526,18,3286,,,,0.744277834892273,0.7080938816070557,0.2982630431652069
0.6863560676574707,,0.6798283457756042,,0.9238578677177429,,0.9557521939277649,,18,3286,0.8114486336708069,0.7567004561424255,0.27330735325813293,,,
,0.6401673555374146,,0.6041923761367798,,0.8275862336158752,,0.8666666746139526,19,3459,,,,0.7346531748771667,0.6997126340866089,0.3005096912384033
0.6964433193206787,,0.6712623834609985,,0.9122806787490845,,0.9408283829689026,,19,3459,0.8052037358283997,0.7538029551506042,0.27226555347442627,,,
,0.6816846132278442,,0.6190476417541504,,0.8251748085021973,,0.8666666746139526,20,3632,,,,0.7481434345245361,0.7207854390144348,0.294219434261322
0.6921479105949402,,0.6835551857948303,,0.925000011920929,,0.9526627063751221,,20,3632,0.8133414387702942,0.7570626735687256,0.26861336827278137,,,
,0.6951456069946289,,0.6079404354095459,,0.8391608595848083,,0.8524590134620667,21,3805,,,,0.7486764788627625,0.719348669052124,0.29502007365226746
0.6968325972557068,,0.6839826703071594,,0.9195979833602905,,0.9673590660095215,,21,3805,0.8169430494308472,0.7606845498085022,0.268444299697876,,,
,0.7497835755348206,,0.6119873523712158,,0.8391608595848083,,0.8644067645072937,22,3978,,,,0.7663346529006958,0.7579023241996765,0.28013575077056885
0.7002497911453247,,0.6845924258232117,,0.9211195707321167,,0.9529411792755127,,22,3978,0.8147257566452026,0.761680543422699,0.2695990800857544,,,
,0.7251772880554199,,0.6047197580337524,,0.8368794322013855,,0.8739495873451233,23,4151,,,,0.7601815462112427,0.7447317838668823,0.28516125679016113
0.7113487124443054,,0.6874728798866272,,0.9172932505607605,,0.9583333134651184,,23,4151,0.8186120390892029,0.7656646370887756,0.26448923349380493,,,
,0.7088372111320496,,0.6266666650772095,,0.8309859037399292,,0.8666666746139526,24,4324,,,,0.758289098739624,0.7318007946014404,0.28863266110420227
0.688632607460022,,0.6827378273010254,,0.9269521236419678,,0.9583333134651184,,24,4324,0.8141639828681946,0.7568815350532532,0.26690852642059326,,,
,0.7133520245552063,,0.6208791136741638,,0.8428571224212646,,0.8717948794364929,25,4497,,,,0.7622207999229431,0.7339559197425842,0.287258118391037
0.7047146558761597,,0.6817986965179443,,0.9350000023841858,,0.9557521939277649,,25,4497,0.8193163871765137,0.7638536691665649,0.2635969817638397,,,
,0.6764705777168274,,0.6108247637748718,,0.8489208817481995,,0.8717948794364929,26,4670,,,,0.7520027756690979,0.7191091775894165,0.29607710242271423
0.692497968673706,,0.6850972175598145,,0.9343434572219849,,0.9795918464660645,,26,4670,0.8228825926780701,0.7613183856010437,0.262706995010376,,,
,0.6798029541969299,,0.6174496412277222,,0.8333333134651184,,0.8947368264198303,27,4843,,,,0.7563307285308838,0.7186302542686462,0.29175299406051636
0.6961188912391663,,0.6870425939559937,,0.9187816977500916,,0.9616519212722778,,27,4843,0.8158987760543823,0.7608656287193298,0.2631761133670807,,,
,0.6772277355194092,,0.6269429922103882,,0.8391608595848083,,0.886956512928009,28,5016,,,,0.7575719952583313,0.7231800556182861,0.29431718587875366
0.7069388031959534,,0.6963282823562622,,0.9367088675498962,,0.9675516486167908,,28,5016,0.8268818855285645,0.7682904601097107,0.26065656542778015,,,
,0.7408056259155273,,0.6114457845687866,,0.8368794322013855,,0.8644067645072937,29,5189,,,,0.7633844017982483,0.7502394914627075,0.28131604194641113
0.6962287425994873,,0.68808913230896,,0.9452736377716064,,0.9704142212867737,,29,5189,0.8250014185905457,0.7624049186706543,0.2625015676021576,,,
,0.7484874725341797,,0.608562707901001,,0.8391608595848083,,0.8739495873451233,30,5362,,,,0.7675401568412781,0.7535919547080994,0.2805016040802002
0.6998368501663208,,0.6831597089767456,,0.9343434572219849,,0.9677419066429138,,30,5362,0.8212704658508301,0.7624954581260681,0.2624116539955139,,,
,0.628811776638031,,0.6061349511146545,,0.8391608595848083,,0.8888888955116272,31,5535,,,,0.7407491207122803,0.7004310488700867,0.30561500787734985
0.7099173665046692,,0.6958386898040771,,0.9289340376853943,,0.9793510437011719,,31,5535,0.8285102844238281,0.7717312574386597,0.2606212794780731,,,
,0.7332738637924194,,0.6189780831336975,,0.8368794322013855,,0.8760330677032471,32,5708,,,,0.7662911415100098,0.7471264600753784,0.28353410959243774
0.6981519460678101,,0.6911764740943909,,0.9449999928474426,,0.9766082167625427,,32,5708,0.8277341723442078,0.7650308012962341,0.25962188839912415,,,
